datetime,gold_price_usd,,,,
01-01-1950,34.73,,,,
01-02-1950,34.73,,,,
01-03-1950,34.73,,,,
01-04-1950,34.73,,,,
01-05-1950,34.73,,,,
01-06-1950,34.73,,,,
01-07-1950,34.73,,,,
01-08-1950,34.73,,,,
01-09-1950,34.73,,,,
01-10-1950,34.73,,,,
01-11-1950,34.73,,,,
01-12-1950,34.72,,,,
01-01-1951,34.72,,,,
01-02-1951,34.73,,,,
01-03-1951,34.73,,,,
01-04-1951,34.73,,,,
01-05-1951,34.73,,,,
01-06-1951,34.73,,,,
01-07-1951,34.72,,,,
01-08-1951,34.71,,,,
01-09-1951,34.71,,,,
01-10-1951,34.71,,,,
01-11-1951,34.73,,,,
01-12-1951,34.66,,,,
01-01-1952,34.49,,,,
01-02-1952,34.49,,,,
01-03-1952,34.68,,,,
01-04-1952,34.82,,,,
01-05-1952,34.73,,,,
01-06-1952,34.53,,,,
01-07-1952,34.57,,,,
01-08-1952,34.58,,,,
01-09-1952,34.51,,,,
01-10-1952,34.63,,,,
01-11-1952,34.72,,,,
01-12-1952,34.79,,,,
01-01-1953,34.88,,,,
01-02-1953,34.95,,,,
01-03-1953,34.92,,,,
01-04-1953,34.93,,,,
01-05-1953,34.9,,,,
01-06-1953,34.89,,,,
01-07-1953,34.91,,,,
01-08-1953,34.91,,,,
01-09-1953,34.76,,,,
01-10-1953,34.79,,,,
01-11-1953,34.86,,,,
01-12-1953,34.85,,,,
01-01-1954,34.86,,,,
01-02-1954,34.88,,,,
01-03-1954,34.92,,,,
01-04-1954,35.04,,,,
01-05-1954,35.08,,,,
01-06-1954,35.07,,,,
01-07-1954,35.08,,,,
01-08-1954,35.05,,,,
01-09-1954,35.08,,,,
01-10-1954,35.08,,,,
01-11-1954,35.06,,,,
01-12-1954,35.04,,,,
01-01-1955,35.04,,,,
01-02-1955,35.05,,,,
01-03-1955,35.06,,,,
01-04-1955,35.05,,,,
01-05-1955,35.05,,,,
01-06-1955,35.04,,,,
01-07-1955,35.05,,,,
01-08-1955,35.03,,,,
01-09-1955,34.98,,,,
01-10-1955,34.98,,,,
01-11-1955,34.98,,,,
01-12-1955,34.97,,,,
01-01-1956,34.99,,,,
01-02-1956,34.99,,,,
01-03-1956,34.99,,,,
01-04-1956,34.98,,,,
01-05-1956,34.99,,,,
01-06-1956,34.98,,,,
01-07-1956,35,,,,
01-08-1956,35.02,,,,
01-09-1956,35.01,,,,
01-10-1956,35.02,,,,
01-11-1956,34.98,,,,
01-12-1956,34.9,,,,
01-01-1957,34.88,,,,
01-02-1957,34.89,,,,
01-03-1957,34.91,,,,
01-04-1957,34.92,,,,
01-05-1957,34.93,,,,
01-06-1957,34.99,,,,
01-07-1957,34.99,,,,
01-08-1957,34.97,,,,
01-09-1957,34.96,,,,
01-10-1957,34.97,,,,
01-11-1957,34.97,,,,
01-12-1957,34.99,,,,
01-01-1958,35.01,,,,
01-02-1958,35.08,,,,
01-03-1958,35.09,,,,
01-04-1958,35.1,,,,
01-05-1958,35.11,,,,
01-06-1958,35.1,,,,
01-07-1958,35.11,,,,
01-08-1958,35.1,,,,
01-09-1958,35.1,,,,
01-10-1958,35.11,,,,
01-11-1958,35.1,,,,
01-12-1958,35.09,,,,
01-01-1959,35.07,,,,
01-02-1959,35.06,,,,
01-03-1959,35.06,,,,
01-04-1959,35.08,,,,
01-05-1959,35.12,,,,
01-06-1959,35.12,,,,
01-07-1959,35.13,,,,
01-08-1959,35.12,,,,
01-09-1959,35.13,,,,
01-10-1959,35.1,,,,
01-11-1959,35.06,,,,
01-12-1959,35.05,,,,
01-01-1960,35.09,,,,
01-02-1960,35.09,,,,
01-03-1960,35.09,,,,
01-04-1960,35.11,,,,
01-05-1960,35.1,,,,
01-06-1960,35.09,,,,
01-07-1960,35.1,,,,
01-08-1960,35.13,,,,
01-09-1960,35.22,,,,
01-10-1960,35.78,,,,
01-11-1960,35.82,,,,
01-12-1960,35.54,,,,
01-01-1961,35.56,,,,
01-02-1961,35.17,,,,
01-03-1961,35.08,,,,
01-04-1961,35.08,,,,
01-05-1961,35.06,,,,
01-06-1961,35.07,,,,
01-07-1961,35.11,,,,
01-08-1961,35.16,,,,
01-09-1961,35.19,,,,
01-10-1961,35.19,,,,
01-11-1961,35.19,,,,
01-12-1961,35.15,,,,
01-01-1962,35.16,,,,
01-02-1962,35.13,,,,
01-03-1962,35.09,,,,
01-04-1962,35.08,,,,
01-05-1962,35.08,,,,
01-06-1962,35.1,,,,
01-07-1962,35.12,,,,
01-08-1962,35.12,,,,
01-09-1962,35.13,,,,
01-10-1962,35.14,,,,
01-11-1962,35.09,,,,
01-12-1962,35.08,,,,
01-01-1963,35.06,,,,
01-02-1963,35.08,,,,
01-03-1963,35.1,,,,
01-04-1963,35.1,,,,
01-05-1963,35.08,,,,
01-06-1963,35.08,,,,
01-07-1963,35.09,,,,
01-08-1963,35.1,,,,
01-09-1963,35.08,,,,
01-10-1963,35.08,,,,
01-11-1963,35.08,,,,
01-12-1963,35.08,,,,
01-01-1964,35.08,,,,
01-02-1964,35.08,,,,
01-03-1964,35.08,,,,
01-04-1964,35.08,,,,
01-05-1964,35.08,,,,
01-06-1964,35.08,,,,
01-07-1964,35.08,,,,
01-08-1964,35.08,,,,
01-09-1964,35.09,,,,
01-10-1964,35.11,,,,
01-11-1964,35.1,,,,
01-12-1964,35.12,,,,
01-01-1965,35.13,,,,
01-02-1965,35.14,,,,
01-03-1965,35.16,,,,
01-04-1965,35.14,,,,
01-05-1965,35.1,,,,
01-06-1965,35.1,,,,
01-07-1965,35.12,,,,
01-08-1965,35.15,,,,
01-09-1965,35.14,,,,
01-10-1965,35.11,,,,
01-11-1965,35.11,,,,
01-12-1965,35.13,,,,
01-01-1966,35.15,,,,
01-02-1966,35.17,,,,
01-03-1966,35.15,,,,
01-04-1966,35.13,,,,
01-05-1966,35.12,,,,
01-06-1966,35.15,,,,
01-07-1966,35.18,,,,
01-08-1966,35.18,,,,
01-09-1966,35.19,,,,
01-10-1966,35.16,,,,
01-11-1966,35.16,,,,
01-12-1966,35.18,,,,
01-01-1967,35.18,,,,
01-02-1967,35.17,,,,
01-03-1967,35.16,,,,
01-04-1967,35.17,,,,
01-05-1967,35.18,,,,
01-06-1967,35.19,,,,
01-07-1967,35.19,,,,
01-08-1967,35.19,,,,
01-09-1967,35.19,,,,
01-10-1967,35.19,,,,
01-11-1967,35.2,,,,
01-12-1967,35.19,,,,
01-01-1968,35.18,,,,
01-02-1968,35.2,,,,
01-03-1968,35.2,,,,
01-04-1968,37.878,,,,
01-05-1968,40.691,,,,
01-06-1968,41.111,,,,
01-07-1968,39.53,,,,
01-08-1968,39.17,,,,
01-09-1968,40.203,,,,
01-10-1968,39.21,,,,
01-11-1968,39.795,,,,
01-12-1968,41.113,,,,
01-01-1969,42.291,,,,
01-02-1969,42.616,,,,
01-03-1969,43.171,,,,
01-04-1969,43.295,,,,
01-05-1969,43.461,,,,
01-06-1969,41.442,,,,
01-07-1969,41.755,,,,
01-08-1969,41.128,,,,
01-09-1969,40.865,,,,
01-10-1969,40.476,,,,
01-11-1969,37.452,,,,
01-12-1969,35.189,,,,
01-01-1970,34.946,,,,
01-02-1970,34.994,,,,
01-03-1970,35.089,,,,
01-04-1970,35.623,,,,
01-05-1970,35.958,,,,
01-06-1970,35.437,,,,
01-07-1970,35.329,,,,
01-08-1970,35.377,,,,
01-09-1970,36.196,,,,
01-10-1970,37.553,,,,
01-11-1970,37.455,,,,
01-12-1970,37.434,,,,
01-01-1971,37.868,,,,
01-02-1971,38.716,,,,
01-03-1971,38.873,,,,
01-04-1971,39.001,,,,
01-05-1971,40.493,,,,
01-06-1971,40.105,,,,
01-07-1971,40.929,,,,
01-08-1971,42.722,,,,
01-09-1971,41.976,,,,
01-10-1971,42.473,,,,
01-11-1971,42.842,,,,
01-12-1971,43.455,,,,
01-01-1972,45.64,,,,
01-02-1972,48.237,,,,
01-03-1972,48.288,,,,
01-04-1972,49.026,,,,
01-05-1972,54.5,,,,
01-06-1972,62.17,,,,
01-07-1972,65.558,,,,
01-08-1972,66.917,,,,
01-09-1972,65.589,,,,
01-10-1972,64.824,,,,
01-11-1972,62.726,,,,
01-12-1972,63.779,,,,
01-01-1973,65.127,,,,
01-02-1973,73.971,,,,
01-03-1973,84.105,,,,
01-04-1973,90.441,,,,
01-05-1973,101.623,,,,
01-06-1973,119.8,,,,
01-07-1973,120.364,,,,
01-08-1973,106.225,,,,
01-09-1973,103.034,,,,
01-10-1973,99.923,,,,
01-11-1973,94.645,,,,
01-12-1973,106.236,,,,
01-01-1974,129.027,,,,
01-02-1974,150,,,,
01-03-1974,168.298,,,,
01-04-1974,172.243,,,,
01-05-1974,163.568,,,,
01-06-1974,154.013,,,,
01-07-1974,142.283,,,,
01-08-1974,154.362,,,,
01-09-1974,151.66,,,,
01-10-1974,158.533,,,,
01-11-1974,181.483,,,,
01-12-1974,183.683,,,,
01-01-1975,176.864,,,,
01-02-1975,179.553,,,,
01-03-1975,178.203,,,,
01-04-1975,170.066,,,,
01-05-1975,167.293,,,,
01-06-1975,164.25,,,,
01-07-1975,164.867,,,,
01-08-1975,163.168,,,,
01-09-1975,144.311,,,,
01-10-1975,142.691,,,,
01-11-1975,142.565,,,,
01-12-1975,139.279,,,,
01-01-1976,131.695,,,,
01-02-1976,130.94,,,,
01-03-1976,132.676,,,,
01-04-1976,127.91,,,,
01-05-1976,126.913,,,,
01-06-1976,125.684,,,,
01-07-1976,117.866,,,,
01-08-1976,110.055,,,,
01-09-1976,114.098,,,,
01-10-1976,116.095,,,,
01-11-1976,130.341,,,,
01-12-1976,133.674,,,,
01-01-1977,132.306,,,,
01-02-1977,136.163,,,,
01-03-1977,148.339,,,,
01-04-1977,149.184,,,,
01-05-1977,146.536,,,,
01-06-1977,140.828,,,,
01-07-1977,143.383,,,,
01-08-1977,145.009,,,,
01-09-1977,149.334,,,,
01-10-1977,158.848,,,,
01-11-1977,162.132,,,,
01-12-1977,160.48,,,,
01-01-1978,173.207,,,,
01-02-1978,178.36,,,,
01-03-1978,183.771,,,,
01-04-1978,175.323,,,,
01-05-1978,176.19,,,,
01-06-1978,183.761,,,,
01-07-1978,188.569,,,,
01-08-1978,206.455,,,,
01-09-1978,212.212,,,,
01-10-1978,227.432,,,,
01-11-1978,207.082,,,,
01-12-1978,207.895,,,,
01-01-1979,226.986,,,,
01-02-1979,245.59,,,,
01-03-1979,242.348,,,,
01-04-1979,239.174,,,,
01-05-1979,257.738,,,,
01-06-1979,279.36,,,,
01-07-1979,295.009,,,,
01-08-1979,300.793,,,,
01-09-1979,354.498,,,,
01-10-1979,390.959,,,,
01-11-1979,391.518,,,,
01-12-1979,463.666,,,,
01-01-1980,674.58,,,,
01-02-1980,665.893,,,,
01-03-1980,554.276,,,,
01-04-1980,516.71,,,,
01-05-1980,514.268,,,,
01-06-1980,600.786,,,,
01-07-1980,645.75,,,,
01-08-1980,626.36,,,,
01-09-1980,673.941,,,,
01-10-1980,662.27,,,,
01-11-1980,623.875,,,,
01-12-1980,596.712,,,,
01-01-1981,557.813,,,,
01-02-1981,500.8,,,,
01-03-1981,499.693,,,,
01-04-1981,496.625,,,,
01-05-1981,480.316,,,,
01-06-1981,460.5,,,,
01-07-1981,409.284,,,,
01-08-1981,410.24,,,,
01-09-1981,443.773,,,,
01-10-1981,437.68,,,,
01-11-1981,413.405,,,,
01-12-1981,410.119,,,,
01-01-1982,384.163,,,,
01-02-1982,374.458,,,,
01-03-1982,330.413,,,,
01-04-1982,350.335,,,,
01-05-1982,334.505,,,,
01-06-1982,314.961,,,,
01-07-1982,337.895,,,,
01-08-1982,363.413,,,,
01-09-1982,438.15,,,,
01-10-1982,422.786,,,,
01-11-1982,415.114,,,,
01-12-1982,444.776,,,,
01-01-1983,481.838,,,,
01-02-1983,493.488,,,,
01-03-1983,420.707,,,,
01-04-1983,433.171,,,,
01-05-1983,437.393,,,,
01-06-1983,413.148,,,,
01-07-1983,422.645,,,,
01-08-1983,416.205,,,,
01-09-1983,412.245,,,,
01-10-1983,394.245,,,,
01-11-1983,381.016,,,,
01-12-1983,388.06,,,,
01-01-1984,370.735,,,,
01-02-1984,386.038,,,,
01-03-1984,394.743,,,,
01-04-1984,381.371,,,,
01-05-1984,376.957,,,,
01-06-1984,378.314,,,,
01-07-1984,347.598,,,,
01-08-1984,347.677,,,,
01-09-1984,340.945,,,,
01-10-1984,340.217,,,,
01-11-1984,341.286,,,,
01-12-1984,319.622,,,,
01-01-1985,302.852,,,,
01-02-1985,299.833,,,,
01-03-1985,303.205,,,,
01-04-1985,324.883,,,,
01-05-1985,316.395,,,,
01-06-1985,316.298,,,,
01-07-1985,317.202,,,,
01-08-1985,330.131,,,,
01-09-1985,323.764,,,,
01-10-1985,326.093,,,,
01-11-1985,325.548,,,,
01-12-1985,321.985,,,,
01-01-1986,345.561,,,,
01-02-1986,339.053,,,,
01-03-1986,346.095,,,,
01-04-1986,340.716,,,,
01-05-1986,342.325,,,,
01-06-1986,342.798,,,,
01-07-1986,348.554,,,,
01-08-1986,376.29,,,,
01-09-1986,418.152,,,,
01-10-1986,423.863,,,,
01-11-1986,396.983,,,,
01-12-1986,391.595,,,,
01-01-1987,408.524,,,,
01-02-1987,401.045,,,,
01-03-1987,408.848,,,,
01-04-1987,439.665,,,,
01-05-1987,461.65,,,,
01-06-1987,449.282,,,,
01-07-1987,450.33,,,,
01-08-1987,460.988,,,,
01-09-1987,460.12,,,,
01-10-1987,465.764,,,,
01-11-1987,468.14,,,,
01-12-1987,487.079,,,,
01-01-1988,477.758,,,,
01-02-1988,442.124,,,,
01-03-1988,443.491,,,,
01-04-1988,451.558,,,,
01-05-1988,451.32,,,,
01-06-1988,451.657,,,,
01-07-1988,437.452,,,,
01-08-1988,431.064,,,,
01-09-1988,413.439,,,,
01-10-1988,406.39,,,,
01-11-1988,419.966,,,,
01-12-1988,419.248,,,,
01-01-1989,404.445,,,,
01-02-1989,387.973,,,,
01-03-1989,390.274,,,,
01-04-1989,384.72,,,,
01-05-1989,371.35,,,,
01-06-1989,367.727,,,,
01-07-1989,375.21,,,,
01-08-1989,365.548,,,,
01-09-1989,361.798,,,,
01-10-1989,366.8,,,,
01-11-1989,394.361,,,,
01-12-1989,409.655,,,,
01-01-1990,410.118,,,,
01-02-1990,416.543,,,,
01-03-1990,393.661,,,,
01-04-1990,374.929,,,,
01-05-1990,368.855,,,,
01-06-1990,352.657,,,,
01-07-1990,361.82,,,,
01-08-1990,394.861,,,,
01-09-1990,389.56,,,,
01-10-1990,381.333,,,,
01-11-1990,381.866,,,,
01-12-1990,378.161,,,,
01-01-1991,384.591,,,,
01-02-1991,363.748,,,,
01-03-1991,363.39,,,,
01-04-1991,358.055,,,,
01-05-1991,357.117,,,,
01-06-1991,366.36,,,,
01-07-1991,368.013,,,,
01-08-1991,356.721,,,,
01-09-1991,348.46,,,,
01-10-1991,358.826,,,,
01-11-1991,359.96,,,,
01-12-1991,361.875,,,,
01-01-1992,354.436,,,,
01-02-1992,353.853,,,,
01-03-1992,344.641,,,,
01-04-1992,338.728,,,,
01-05-1992,337.039,,,,
01-06-1992,340.784,,,,
01-07-1992,352.452,,,,
01-08-1992,343.603,,,,
01-09-1992,345.3,,,,
01-10-1992,344.277,,,,
01-11-1992,334.924,,,,
01-12-1992,334.657,,,,
01-01-1993,328.993,,,,
01-02-1993,329.31,,,,
01-03-1993,329.974,,,,
01-04-1993,341.948,,,,
01-05-1993,367.045,,,,
01-06-1993,371.914,,,,
01-07-1993,392.034,,,,
01-08-1993,379.795,,,,
01-09-1993,355.561,,,,
01-10-1993,364.005,,,,
01-11-1993,373.939,,,,
01-12-1993,383.243,,,,
01-01-1994,387.11,,,,
01-02-1994,381.658,,,,
01-03-1994,384,,,,
01-04-1994,377.908,,,,
01-05-1994,381.343,,,,
01-06-1994,385.714,,,,
01-07-1994,385.45,,,,
01-08-1994,380.207,,,,
01-09-1994,391.348,,,,
01-10-1994,390.164,,,,
01-11-1994,384.377,,,,
01-12-1994,379.48,,,,
01-01-1995,378.738,,,,
01-02-1995,376.745,,,,
01-03-1995,381.82,,,,
01-04-1995,391.339,,,,
01-05-1995,385.231,,,,
01-06-1995,387.618,,,,
01-07-1995,386.138,,,,
01-08-1995,383.502,,,,
01-09-1995,382.931,,,,
01-10-1995,383.202,,,,
01-11-1995,385.209,,,,
01-12-1995,387.445,,,,
01-01-1996,398.695,,,,
01-02-1996,404.919,,,,
01-03-1996,396.512,,,,
01-04-1996,392.87,,,,
01-05-1996,391.99,,,,
01-06-1996,385.245,,,,
01-07-1996,383.457,,,,
01-08-1996,387.51,,,,
01-09-1996,383.29,,,,
01-10-1996,380.909,,,,
01-11-1996,377.869,,,,
01-12-1996,369.338,,,,
01-01-1997,355.025,,,,
01-02-1997,346.4,,,,
01-03-1997,352.311,,,,
01-04-1997,344.707,,,,
01-05-1997,344.1,,,,
01-06-1997,340.805,,,,
01-07-1997,323.78,,,,
01-08-1997,323.998,,,,
01-09-1997,322.616,,,,
01-10-1997,324.863,,,,
01-11-1997,306.345,,,,
01-12-1997,288.776,,,,
01-01-1998,289.264,,,,
01-02-1998,297.743,,,,
01-03-1998,295.87,,,,
01-04-1998,308.558,,,,
01-05-1998,298.971,,,,
01-06-1998,292.223,,,,
01-07-1998,292.874,,,,
01-08-1998,284.228,,,,
01-09-1998,288.661,,,,
01-10-1998,296.595,,,,
01-11-1998,294.243,,,,
01-12-1998,291.357,,,,
01-01-1999,287.333,,,,
01-02-1999,287.495,,,,
01-03-1999,286.243,,,,
01-04-1999,282.62,,,,
01-05-1999,276.932,,,,
01-06-1999,261.402,,,,
01-07-1999,256.198,,,,
01-08-1999,256.936,,,,
01-09-1999,264.47,,,,
01-10-1999,311.562,,,,
01-11-1999,293.65,,,,
01-12-1999,283.743,,,,
01-01-2000,284.59,,,,
01-02-2000,300.855,,,,
01-03-2000,286.704,,,,
01-04-2000,279.961,,,,
01-05-2000,275.293,,,,
01-06-2000,285.368,,,,
01-07-2000,282.152,,,,
01-08-2000,274.523,,,,
01-09-2000,273.676,,,,
01-10-2000,270.405,,,,
01-11-2000,265.989,,,,
01-12-2000,271.892,,,,
01-01-2001,265.934,,,,
01-02-2001,262.018,,,,
01-03-2001,263.273,,,,
01-04-2001,260.75,,,,
01-05-2001,272.057,,,,
01-06-2001,270.738,,,,
01-07-2001,267.707,,,,
01-08-2001,272.657,,,,
01-09-2001,282.478,,,,
01-10-2001,283.322,,,,
01-11-2001,276.248,,,,
01-12-2001,275.992,,,,
01-01-2002,281.764,,,,
01-02-2002,295.683,,,,
01-03-2002,294.353,,,,
01-04-2002,302.862,,,,
01-05-2002,314.48,,,,
01-06-2002,321.536,,,,
01-07-2002,313.567,,,,
01-08-2002,310.045,,,,
01-09-2002,318.8,,,,
01-10-2002,316.748,,,,
01-11-2002,319.255,,,,
01-12-2002,333.3,,,,
01-01-2003,356.864,,,,
01-02-2003,359.575,,,,
01-03-2003,341.564,,,,
01-04-2003,328.208,,,,
01-05-2003,355.405,,,,
01-06-2003,356.912,,,,
01-07-2003,350.765,,,,
01-08-2003,358.993,,,,
01-09-2003,378.859,,,,
01-10-2003,379.093,,,,
01-11-2003,390.2,,,,
01-12-2003,407.674,,,,
01-01-2004,414.495,,,,
01-02-2004,404.73,,,,
01-03-2004,405.976,,,,
01-04-2004,404.85,,,,
01-05-2004,383.953,,,,
01-06-2004,391.78,,,,
01-07-2004,398.441,,,,
01-08-2004,400.133,,,,
01-09-2004,405.402,,,,
01-10-2004,420.21,,,,
01-11-2004,439.059,,,,
01-12-2004,442.974,,,,
01-01-2005,424.08,,,,
01-02-2005,423.43,,,,
01-03-2005,434.355,,,,
01-04-2005,429.14,,,,
01-05-2005,422.903,,,,
01-06-2005,430.302,,,,
01-07-2005,424.745,,,,
01-08-2005,437.773,,,,
01-09-2005,455.936,,,,
01-10-2005,470.107,,,,
01-11-2005,476.668,,,,
01-12-2005,509.423,,,,
01-01-2006,549.433,,,,
01-02-2006,555.518,,,,
01-03-2006,557.215,,,,
01-04-2006,611.853,,,,
01-05-2006,676.769,,,,
01-06-2006,597.898,,,,
01-07-2006,633.093,,,,
01-08-2006,631.557,,,,
01-09-2006,600.15,,,,
01-10-2006,586.648,,,,
01-11-2006,626.825,,,,
01-12-2006,629.513,,,,
01-01-2007,630.352,,,,
01-02-2007,665.103,,,,
01-03-2007,655.891,,,,
01-04-2007,680.008,,,,
01-05-2007,668.31,,,,
01-06-2007,655.714,,,,
01-07-2007,665.266,,,,
01-08-2007,664.53,,,,
01-09-2007,710.645,,,,
01-10-2007,754.48,,,,
01-11-2007,808.311,,,,
01-12-2007,803.618,,,,
01-01-2008,887.784,,,,
01-02-2008,924.283,,,,
01-03-2008,971.055,,,,
01-04-2008,911.6,,,,
01-05-2008,889.125,,,,
01-06-2008,889.536,,,,
01-07-2008,941.167,,,,
01-08-2008,840.388,,,,
01-09-2008,824.92,,,,
01-10-2008,812.815,,,,
01-11-2008,757.85,,,,
01-12-2008,819.94,,,,
01-01-2009,857.726,,,,
01-02-2009,939.763,,,,
01-03-2009,925.989,,,,
01-04-2009,892.663,,,,
01-05-2009,926.855,,,,
01-06-2009,947.807,,,,
01-07-2009,934.272,,,,
01-08-2009,949.5,,,,
01-09-2009,996.443,,,,
01-10-2009,1043.511,,,,
01-11-2009,1126.119,,,,
01-12-2009,1135.012,,,,
01-01-2010,1119.575,,,,
01-02-2010,1095.8,,,,
01-03-2010,1115.554,,,,
01-04-2010,1148.475,,,,
01-05-2010,1204.321,,,,
01-06-2010,1232.382,,,,
01-07-2010,1196,,,,
01-08-2010,1213.464,,,,
01-09-2010,1271.461,,,,
01-10-2010,1343.19,,,,
01-11-2010,1371.784,,,,
01-12-2010,1393.512,,,,
01-01-2011,1360.475,,,,
01-02-2011,1371.313,,,,
01-03-2011,1422.848,,,,
01-04-2011,1474.431,,,,
01-05-2011,1512.188,,,,
01-06-2011,1528.38,,,,
01-07-2011,1568.526,,,,
01-08-2011,1759.5,,,,
01-09-2011,1780.648,,,,
01-10-2011,1667.893,,,,
01-11-2011,1735.977,,,,
01-12-2011,1652.725,,,,
01-01-2012,1656.095,,,,
01-02-2012,1743.095,,,,
01-03-2012,1675.057,,,,
01-04-2012,1648.539,,,,
01-05-2012,1585.114,,,,
01-06-2012,1595.632,,,,
01-07-2012,1592.784,,,,
01-08-2012,1625.682,,,,
01-09-2012,1741.925,,,,
01-10-2012,1746.348,,,,
01-11-2012,1724.352,,,,
01-12-2012,1687.342,,,,
01-01-2013,1671.886,,,,
01-02-2013,1630.688,,,,
01-03-2013,1591.013,,,,
01-04-2013,1485.905,,,,
01-05-2013,1416.143,,,,
01-06-2013,1342.7,,,,
01-07-2013,1284.348,,,,
01-08-2013,1345.048,,,,
01-09-2013,1348.464,,,,
01-10-2013,1314.402,,,,
01-11-2013,1277.417,,,,
01-12-2013,1221.588,,,,
01-01-2014,1243.068,,,,
01-02-2014,1298.713,,,,
01-03-2014,1336.56,,,,
01-04-2014,1299.175,,,,
01-05-2014,1288.913,,,,
01-06-2014,1277.857,,,,
01-07-2014,1312.989,,,,
01-08-2014,1297.005,,,,
01-09-2014,1241.33,,,,
01-10-2014,1223.565,,,,
01-11-2014,1176.413,,,,
01-12-2014,1200.44,,,,
01-01-2015,1249.333,,,,
01-02-2015,1231.1,,,,
01-03-2015,1180.636,,,,
01-04-2015,1198.253,,,,
01-05-2015,1197.684,,,,
01-06-2015,1182.248,,,,
01-07-2015,1131.58,,,,
01-08-2015,1117.525,,,,
01-09-2015,1124.905,,,,
01-10-2015,1157.123,,,,
01-11-2015,1088.388,,,,
01-12-2015,1068.317,,,,
01-01-2016,1095.655,,,,
01-02-2016,1194.893,,,,
01-03-2016,1246.312,,,,
01-04-2016,1241.452,,,,
01-05-2016,1259.755,,,,
01-06-2016,1273.58,,,,
01-07-2016,1337.429,,,,
01-08-2016,1340.861,,,,
01-09-2016,1326.618,,,,
01-10-2016,1268.929,,,,
01-11-2016,1240.293,,,,
01-12-2016,1152.165,,,,
01-01-2017,1192.648,,,,
01-02-2017,1233.39,,,,
01-03-2017,1231.063,,,,
01-04-2017,1267.15,,,,
01-05-2017,1245.25,,,,
01-06-2017,1261.277,,,,
01-07-2017,1235.1,,,,
01-08-2017,1281.72,,,,
01-09-2017,1317.045,,,,
01-10-2017,1280.677,,,,
01-11-2017,1283.189,,,,
01-12-2017,1265.674,,,,
01-01-2018,1332.809,,,,
01-02-2018,1333.775,,,,
